problem,n_node,k_sparse,n_ants,H,mini_H,min_new_edges,rho,lr,ppo_epochs,train_time_s,train_time_h,peak_memory_gb,total_params,epochs_completed,status,best_epoch,best_train_cost,best_val_cost,best_gap_pct,pretrain_val_cost,pretrain_gap_pct,relative_improvement_pct,test_gap_pct,test_mean_cost,test_mean_time_s,test_total_time_s,train_cost_std,val_cost_std,gap_pct_std,train_cost_trend,val_cost_trend
cvrp,20,10,10,10,10,4,0.1,0.0,4,32.38,0.009,0.06,67329,5,existing,-1,5.7059,4.451,0.0,4.451,0.0,,,,,,0.1893,0.0,0.0,stable,stable
cvrp,1000,32,100,10,100,12,0.1,0.0,4,1810.05,0.5028,0.02,67329,10,ok,7,37.0722,35.7201,-0.04,35.9151,0.51,107.8431,,,,,0.4668,0.0372,0.1048,stable,stable
tsp,20,10,10,10,10,4,0.1,0.0,4,31.74,0.0088,0.06,67361,5,existing,-1,3.9972,3.7057,0.0,3.7057,0.0,,,,,,0.2477,0.0,0.0,degrading,stable
tsp,1000,16,100,10,100,12,0.1,0.0,4,1354.97,0.3764,0.02,67361,10,ok,8,23.4272,23.1843,0.55,23.2373,0.78,29.4872,0.2068,23.2374,0.2587,4.1392,0.0481,0.0191,0.083,stable,stable
tsp,1000,24,100,10,100,12,0.1,0.0,4,1365.78,0.3794,0.02,67361,10,ok,9,23.4536,23.1849,0.55,23.2513,0.84,34.5238,0.18,23.2315,0.2826,4.522,0.0625,0.0299,0.1302,stable,stable
tsp,1000,32,100,10,100,12,0.1,0.0,4,1368.96,0.3803,0.02,67361,10,ok,4,23.4692,23.1857,0.55,23.2398,0.79,30.3797,0.2929,23.2576,0.4041,6.4654,0.0817,0.0312,0.1376,stable,stable
tsp,1000,32,100,10,100,12,0.1,0.0,4,1998.67,0.5552,0.02,67361,10,ok,-1,23.298,23.1365,0.34,23.2398,0.79,56.962,0.0398,23.199,0.4051,6.4818,0.0273,0.0072,0.0327,stable,stable
tsp,1000,32,100,10,100,12,0.1,0.0,4,0.0,0.0,0.018,67361,2,existing,1,23.4765,23.2052,0.64,23.2398,0.79,18.9873,0.2929,23.2576,0.4041,6.4654,13.5551,0.0188,0.0814,degrading,stable
tsp,1000,32,100,10,100,16,0.1,0.0,4,1392.97,0.3869,0.02,67361,10,ok,8,23.4572,23.216,0.68,23.3882,1.43,52.4476,0.2872,23.2563,0.3339,5.3417,0.1738,0.071,0.3092,stable,stable
tsp,1000,32,100,10,100,20,0.1,0.0,4,1421.87,0.395,0.02,67361,10,ok,8,23.5971,23.3214,1.14,23.5201,2.0,43.0,0.7424,23.3619,0.3693,5.9091,0.2279,0.0898,0.3923,stable,stable
tsp,1000,32,100,10,100,4,0.1,0.0,4,0.0,0.0,0.018,67361,4,existing,1,23.4341,23.2288,0.74,23.2123,0.67,-10.4478,0.2952,23.2579,0.2678,4.2846,0.0729,0.0026,0.0115,stable,stable
tsp,1000,32,100,10,100,8,0.1,0.0,4,1357.28,0.377,0.02,67361,10,ok,2,23.4189,23.196,0.6,23.1964,0.6,0.0,0.164,23.2277,0.288,4.6088,0.0335,0.0032,0.0142,stable,stable
tsp,1000,32,100,20,50,12,0.1,0.0,4,1680.58,0.4668,0.02,67361,10,ok,6,23.4052,23.1657,0.47,23.2398,0.79,40.5063,0.0891,23.2102,0.4207,6.7314,0.0505,0.028,0.1228,stable,stable
tsp,1000,32,100,2,400,12,0.1,0.0,4,1053.08,0.2925,0.02,67361,10,ok,9,23.5483,23.252,0.84,23.2623,0.89,5.618,0.4734,23.2995,0.2575,4.12,0.0699,0.0148,0.0642,stable,stable
tsp,1000,32,100,5,200,12,0.1,0.0,4,1305.09,0.3625,0.02,67361,10,ok,7,23.3856,23.1737,0.5,23.2398,0.79,36.7089,0.1136,23.2158,0.3167,5.0666,0.114,0.0466,0.2018,stable,stable
tsp,1000,32,100,10,100,12,0.1,0.0,4,1383.59,0.3843,0.02,67361,10,ok,7,23.4074,23.1796,0.53,23.1871,0.56,5.3571,0.1211,23.2177,0.3681,5.8888,0.0909,0.0121,0.0532,stable,stable
tsp,1000,48,100,10,100,12,0.1,0.0,4,1404.53,0.3901,0.02,67361,10,ok,8,23.4161,23.1699,0.49,23.2673,0.91,46.1538,0.0832,23.209,0.355,5.6794,0.1114,0.0473,0.2052,stable,stable
tsp,1000,64,100,10,100,12,0.1,0.0,4,1435.34,0.3987,0.02,67361,10,ok,9,23.4156,23.149,0.39,23.2764,0.95,58.9474,-0.0355,23.1814,0.4579,7.3271,0.1326,0.049,0.2129,stable,stable
tsp,5000,16,100,10,100,12,0.1,0.0,4,1566.94,0.4353,0.02,67361,10,ok,8,51.8331,51.6392,1.25,52.0257,2.01,37.8109,1.3787,51.6764,0.6005,9.6079,0.0898,0.0924,0.1815,stable,stable
tsp,5000,24,100,10,100,12,0.1,0.0,4,1635.35,0.4543,0.02,67361,10,ok,7,51.8022,51.6404,1.25,52.0665,2.09,40.1914,1.3103,51.6415,0.6941,11.1054,0.1289,0.1296,0.2522,stable,stable
tsp,5000,32,100,10,100,16,0.1,0.0,4,1717.69,0.4771,0.02,67361,10,ok,9,51.847,51.8401,1.64,52.6537,3.24,49.3827,1.5659,51.7718,0.8226,13.1611,0.3718,0.277,0.5439,stable,stable
tsp,5000,32,100,10,100,20,0.1,0.0,4,1736.05,0.4822,0.02,67361,10,ok,7,52.0781,52.1297,2.21,53.0439,4.0,44.75,2.11,52.0491,0.8552,13.6826,0.4998,0.3372,0.6609,stable,stable
tsp,5000,32,100,10,100,4,0.1,0.0,4,1661.05,0.4614,0.02,67361,10,ok,-1,51.6612,51.6421,1.26,51.6134,1.2,-5.0,1.3213,51.647,0.6867,10.9865,0.1207,0.0119,0.0218,stable,stable
tsp,5000,32,100,10,100,8,0.1,0.0,4,1683.73,0.4677,0.02,67361,10,ok,6,51.7977,51.5867,1.15,51.6563,1.28,10.1563,1.2759,51.6239,0.7346,11.7539,0.0617,0.0185,0.0374,stable,stable
tsp,5000,32,100,10,100,12,0.1,0.0,4,1686.4,0.4684,0.02,67361,10,ok,7,51.8006,51.6147,1.2,52.149,2.25,46.6667,1.3326,51.6529,0.7457,11.9306,0.1698,0.1582,0.3099,stable,stable
tsp,5000,32,100,10,100,12,0.1,0.0,4,1697.07,0.4714,0.02,67361,10,ok,6,51.7196,51.6008,1.18,51.8568,1.68,29.7619,1.1897,51.58,0.9303,14.8855,0.193,0.1678,0.3281,stable,stable
tsp,5000,32,100,20,50,12,0.1,0.0,4,2153.97,0.5983,0.02,67361,10,ok,6,51.6497,51.5964,1.17,52.149,2.25,48.0,1.1422,51.5557,0.8667,13.8677,0.2888,0.1439,0.2819,stable,stable
tsp,5000,32,100,2,400,12,0.1,0.0,4,1243.64,0.3455,0.02,67361,10,ok,9,52.0488,52.0421,2.04,52.2047,2.36,13.5593,2.0856,52.0368,0.6185,9.8967,0.1084,0.0551,0.1085,stable,stable
tsp,5000,32,100,5,200,12,0.1,0.0,4,1573.43,0.4371,0.02,67361,10,ok,9,51.7151,51.612,1.2,52.149,2.25,46.6667,1.2085,51.5896,0.7491,11.9855,0.2426,0.2214,0.4347,stable,stable
tsp,5000,48,100,10,100,12,0.1,0.0,4,1821.77,0.506,0.02,67361,10,ok,9,51.6389,51.5523,1.08,52.1972,2.34,53.8462,1.0109,51.4889,0.9827,15.7236,0.2343,0.2109,0.413,stable,stable
tsp,5000,64,100,10,100,12,0.1,0.0,4,1962.42,0.5451,0.02,67361,10,ok,9,51.6125,51.5447,1.07,52.2699,2.49,57.0281,0.9776,51.4719,1.1724,18.7578,0.2835,0.2339,0.4577,stable,stable
