problem,n_train,K,ants,H,miniH,S,rho,M,variant,mem_gb,params_k,train_time_h,val_gap,cost_rldata_1000,cost_rldata_20,cost_synthetic_1000,cost_synthetic_20,cost_synthetic_5000,cost_test_1000,cost_test_5000,gap_rldata_1000,gap_synthetic_1000,gap_synthetic_5000,gap_test_1000,gap_test_5000,time_rldata_1000,time_rldata_20,time_synthetic_1000,time_synthetic_20,time_synthetic_5000,time_test_1000,time_test_5000
cvrp,1000,32,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.5028,-0.04,48.3965,,36.278,,,36.2697,98.0003,2.7955,3.0752,,3.0645,9.2328,1.5438,,1.2693,,,1.3091,2.4145
cvrp,20,10,10,10,10,100,0.1,4,Standard,0.06,67.329,0.009,0.0,,4.451,,4.451,,,,,,,,,,0.2206,,0.2305,,,
tsp,1000,16,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.3764,0.55,,,23.2374,,,,,,0.2068,,,,,,0.2587,,,,
tsp,1000,24,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.3794,0.55,,,23.2315,,,,,,0.18,,,,,,0.2826,,,,
tsp,1000,32,100,10,100,1000,0.1,12,Anneal,0.0,0.0,0.0,0.0,,,23.2507,,,,,,0.2636,,,,,,0.2888,,,,
tsp,1000,32,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.3803,0.55,1322699.0403,,23.2322,,,23.2322,51.6623,1.2193,0.1834,,0.1834,1.351,0.3504,,0.3155,,,0.3113,0.7765
tsp,1000,32,100,10,100,1000,0.1,12,FullLS,0.02,67.361,0.5552,0.34,,,23.199,,,,53.7665,,0.0398,,,5.4793,,,0.4051,,,,13.6385
tsp,1000,32,100,10,100,1000,0.1,12,GlobalLS,0.018,67.361,0.0,0.64,,,23.2576,,,,57.8021,,0.2929,,,13.3966,,,0.4041,,,,7.6219
tsp,1000,32,100,10,100,1000,0.1,16,Standard,0.02,67.361,0.3869,0.68,,,23.2563,,,,,,0.2872,,,,,,0.3339,,,,
tsp,1000,32,100,10,100,1000,0.1,20,Standard,0.02,67.361,0.395,1.14,,,23.3619,,,,,,0.7424,,,,,,0.3693,,,,
tsp,1000,32,100,10,100,1000,0.1,4,Standard,0.018,67.361,0.0,0.74,,,23.2579,,,,,,0.2952,,,,,,0.2678,,,,
tsp,1000,32,100,10,100,1000,0.1,8,Standard,0.02,67.361,0.377,0.6,,,23.2277,,,,,,0.164,,,,,,0.288,,,,
tsp,1000,32,100,20,50,1000,0.1,12,Standard,0.02,67.361,0.4668,0.47,,,23.2102,,,,,,0.0891,,,,,,0.4207,,,,
tsp,1000,32,100,2,400,800,0.1,12,Standard,0.02,67.361,0.2925,0.84,,,23.2995,,,,,,0.4734,,,,,,0.2575,,,,
tsp,1000,32,100,5,200,1000,0.1,12,Standard,0.02,67.361,0.3625,0.5,,,23.2158,,,,,,0.1136,,,,,,0.3167,,,,
tsp,1000,48,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.3901,0.49,,,23.209,,,,,,0.0832,,,,,,0.355,,,,
tsp,1000,64,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.3987,0.39,,,23.1814,,,,,,-0.0355,,,,,,0.4579,,,,
tsp,5000,32,100,10,100,1000,0.1,16,Standard,0.02,67.361,0.4771,1.64,,,,,51.7718,,,,,1.5659,,,,,,,0.8226,,
tsp,5000,32,100,10,100,1000,0.1,20,Standard,0.02,67.361,0.4822,2.21,,,,,52.0491,,,,,2.11,,,,,,,0.8552,,
tsp,5000,32,100,10,100,1000,0.1,4,Standard,0.02,67.361,0.4614,1.26,,,,,51.647,,,,,1.3213,,,,,,,0.6867,,
tsp,5000,32,100,10,100,1000,0.1,8,Standard,0.02,67.361,0.4677,1.15,,,,,51.6239,,,,,1.2759,,,,,,,0.7346,,
tsp,5000,16,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.4353,1.25,,,,,51.6764,,,,,1.3787,,,,,,,0.6005,,
tsp,5000,24,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.4543,1.25,,,,,51.6415,,,,,1.3103,,,,,,,0.6941,,
tsp,5000,32,100,10,100,1000,0.1,12,Anneal,0.0,0.0,0.0,0.0,,,,,51.6529,,,,,1.3326,,,,,,,0.7457,,
tsp,5000,32,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.4684,1.2,,,,,51.6321,,,,,1.2919,,,,,,,0.7595,,
tsp,5000,32,100,10,100,1000,0.1,12,NoSmooth,0.02,67.361,0.4714,1.18,,,,,51.58,,,,,1.1897,,,,,,,0.9303,,
tsp,1000,32,100,10,100,1000,0.1,12,NoSmooth,0.02,67.361,0.3843,0.53,1321956.1356,,23.2177,,,,,0.9184,0.1211,,,,1.0832,,0.3681,,,,
tsp,20,10,10,10,10,100,0.1,4,Standard,0.06,67.361,0.0088,0.0,,3.7057,,3.7057,,,,,,,,,,0.2868,,0.2072,,,
tsp,5000,32,100,20,50,1000,0.1,12,Standard,0.02,67.361,0.5983,1.17,,,,,51.5557,,,,,1.1422,,,,,,,0.8667,,
tsp,5000,32,100,2,400,800,0.1,12,Standard,0.02,67.361,0.3455,2.04,,,,,52.0368,,,,,2.0856,,,,,,,0.6185,,
tsp,5000,32,100,5,200,1000,0.1,12,Standard,0.02,67.361,0.4371,1.2,,,,,51.5896,,,,,1.2085,,,,,,,0.7491,,
tsp,5000,48,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.506,1.08,,,,,51.4889,,,,,1.0109,,,,,,,0.9827,,
tsp,5000,64,100,10,100,1000,0.1,12,Standard,0.02,67.361,0.5451,1.07,,,,,51.4719,,,,,0.9776,,,,,,,1.1724,,
cvrp,1000,16,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.4625,1.42,,,36.9135,,,,,,4.882,,,,,,0.7927,,,,
cvrp,1000,24,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.4833,0.4,,,36.7246,,,,,,4.3666,,,,,,1.026,,,,
cvrp,1000,32,100,10,100,1000,0.1,12,NoSmooth,0.02,67.329,0.5398,1.13,,,36.4247,,,,,,3.5115,,,,,,3.5253,,,,
cvrp,1000,32,100,10,100,1000,0.1,16,Standard,0.02,67.329,0.5156,0.02,,,36.2283,,,,,,2.9223,,,,,,1.418,,,,
cvrp,1000,32,100,10,100,1000,0.1,20,Standard,0.02,67.329,0.5302,0.21,,,36.2712,,,,,,3.0618,,,,,,1.5147,,,,
cvrp,1000,32,100,10,100,1000,0.1,4,Standard,0.02,67.329,0.4761,0.37,,,36.2187,,,,,,2.9477,,,,,,1.1129,,,,
cvrp,1000,32,100,10,100,1000,0.1,8,Standard,0.02,67.329,0.4959,0.08,,,36.4345,,,,,,3.4896,,,,,,1.0466,,,,
cvrp,1000,32,100,10,100,1000,0.5,12,Standard,0.0,0.0,0.0,0.0,,,36.3019,,,,,,3.1345,,,,,,1.4597,,,,
cvrp,1000,32,100,20,50,1000,0.1,12,Standard,0.02,67.329,0.5571,-0.01,,,36.4858,,,,,,3.649,,,,,,1.3257,,,,
cvrp,1000,32,100,2,400,800,0.1,12,Standard,0.02,67.329,0.4005,0.69,,,36.2597,,,,,,3.0365,,,,,,1.3531,,,,
cvrp,1000,32,100,5,200,1000,0.1,12,Standard,0.02,67.329,0.4889,0.16,,,36.6195,,,,,,4.0233,,,,,,1.3364,,,,
cvrp,1000,64,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.6261,-0.06,,,35.9841,,,,,,2.2708,,,,,,2.1999,,,,
cvrp,5000,16,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.7066,10.46,,,,,99.0747,,,,,10.4919,,,,,,,1.907,,
cvrp,5000,24,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.7582,8.34,,,,,96.9905,,,,,8.1222,,,,,,,2.581,,
cvrp,5000,32,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.8033,7.1,,,,,96.809,,,,,7.8876,,,,,,,2.7276,,
cvrp,5000,32,100,10,100,1000,0.1,12,NoSmooth,0.02,67.329,0.7786,7.55,,,,,96.3407,,,,,7.3573,,,,,,,2.8039,,
cvrp,5000,32,100,10,100,1000,0.1,16,Standard,0.02,67.329,0.8326,7.2,,,,,96.4833,,,,,7.5448,,,,,,,3.2432,,
cvrp,5000,32,100,10,100,1000,0.1,20,Standard,0.02,67.329,0.8464,7.12,,,,,98.2721,,,,,9.5383,,,,,,,2.9165,,
cvrp,5000,32,100,10,100,1000,0.1,4,Standard,0.02,67.329,0.7643,7.11,,,,,96.2789,,,,,7.2933,,,,,,,2.509,,
cvrp,5000,32,100,10,100,1000,0.1,8,Standard,0.02,67.329,0.7821,7.04,,,,,97.128,,,,,8.2263,,,,,,,2.3748,,
cvrp,5000,32,100,10,100,1000,0.5,12,Standard,0.0,0.0,0.0,0.0,,,,,96.1535,,,,,7.1924,,,,,,,3.1126,,
cvrp,5000,32,100,20,50,1000,0.1,12,Standard,0.02,67.329,0.9327,7.01,,,,,97.1699,,,,,8.2623,,,,,,,2.8186,,
cvrp,5000,32,100,2,400,800,0.1,12,Standard,0.02,67.329,0.586,7.93,,,,,96.6381,,,,,7.6876,,,,,,,2.5919,,
cvrp,5000,32,100,5,200,1000,0.1,12,Standard,0.02,67.329,0.7495,7.33,,,,,96.1557,,,,,7.1813,,,,,,,3.0651,,
cvrp,1000,48,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.5469,-0.2,,,36.0597,,,,,,2.4781,,,,,,1.679,,,,
cvrp,5000,48,100,10,100,1000,0.1,12,Standard,0.02,67.329,0.9195,5.2,,,,,95.8279,,,,,6.7835,,,,,,,3.5052,,
cvrp,5000,64,100,10,100,1000,0.1,12,Standard,0.02,67.329,1.0554,4.52,,,,,95.0787,,,,,5.9559,,,,,,,4.4208,,
