Method,CVRP1K_Obj,CVRP1K_Gap(%),CVRP1K_TotalTime(s),CVRP5K_Obj,CVRP5K_Gap(%),CVRP5K_TotalTime(s),CVRP10K_Obj,CVRP10K_Gap(%),CVRP10K_TotalTime(s),CVRP50K_Obj,CVRP50K_Gap(%),CVRP50K_TotalTime(s),CVRP100K_Obj,CVRP100K_Gap(%),CVRP100K_TotalTime(s)
HGS,36.29,0.00,19200.00,89.74,0.00,115200.00,107.4,0.00,288000.00,267.73,0.00,466560.00,476.11,0.00,1382400.00
GLOP-G (LKH3),39.5,8.85,166.40,98.9,10.21,108.80,116.28,8.27,179.20,OOM,OOM,OOM,OOM,OOM,OOM
POMO aug×8,84.89,133.92,614.40,393.27,338.23,10560.00,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
ELG aug×8,41.57,14.55,140.80,109.54,22.06,480.00,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
"LEHD RRC1,000",37.43,3.14,26112.00,101.07,12.63,29760.00,138.73,29.17,39360.00,OOM,OOM,OOM,OOM,OOM,OOM
BQ bs16,38.17,5.18,1792.00,104.4,16.34,2496.00,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
SIGD bs16,39.15,7.88,2214.40,103.46,15.29,1833.60,131.48,22.42,3811.20,477.43,78.33,24864.00,OOM,OOM,OOM
INViT-3V greedy,42.75,17.80,1459.20,109.85,22.41,1344.00,141.41,31.67,4032.00,402.05,50.17,167040.00,688.8,44.67,478080.00
LEHD greedy,38.91,7.22,102.40,105.61,17.68,1497.60,146.24,36.16,11376.00,OOM,OOM,OOM,OOM,OOM,OOM
FACO I=250,37.9755,4.64,38.0045,-,-,-,-,-,-,-,-,-,-,-,-
FACO I=500,37.8134,4.20,88.4430,-,-,-,-,-,-,-,-,-,-,-,-
FACO I=1250,37.6474,3.74,220.3586,-,-,-,-,-,-,-,-,-,-,-,-
FACO I=2500,37.5338,3.43,437.9461,-,-,-,-,-,-,-,-,-,-,-,-
DyNACO I=100,37.5363,3.43,46.11+2.29,-,-,-,-,-,-,-,-,-,-,-,-
DyNACO I=250,37.6608,3.78,90.98+4.43,-,-,-,-,-,-,-,-,-,-,-,-
DyNACO I=1250,37.5372,3.44,225.88+10.95,-,-,-,-,-,-,-,-,-,-,-,-
DyNACO I=2500,37.3375,2.89,354.69,-,-,-,-,-,-,-,-,-,-,-,-
