Method,TSP1K_Obj,TSP1K_Gap(%),TSP1K_TotalTime(s),TSP5K_Obj,TSP5K_Gap(%),TSP5K_TotalTime(s),TSP10K_Obj,TSP10K_Gap(%),TSP10K_TotalTime(s),TSP50K_Obj,TSP50K_Gap(%),TSP50K_TotalTime(s),TSP100K_Obj,TSP100K_Gap(%),TSP100K_TotalTime(s)
LKH3,23.12,0.00,13056.00,50.97,0.00,11520.00,71.78,0.00,31680.00,159.93,0.00,576000.00,225.99,0.00,1440000.00
H-TSP,24.66,6.66,6144.00,55.16,8.22,1152.00,77.75,8.32,2112.00,OOM,OOM,OOM,OOM,OOM,OOM
GLOP,23.78,2.85,1305.60,53.15,4.28,960.00,75.04,4.54,1824.00,168.09,5.10,1440.00,237.61,5.14,3744.00
INViT-3V greedy,24.66,6.66,1152.00,54.49,6.91,1152.00,76.85,7.06,3552.00,171.42,7.18,74880.00,242.26,7.20,288000.00
L2C-Insert greedy,24.218,4.75,21.0,-,-,-,77.343,7.75,63.6,171.778,7.41,316.8,242.757,7.42,631.8
SIL greedy,23.569,1.94,25.60,52.59,3.18,83.20,74.69,4.05,321.60,168.5,5.36,7392.00,239.84,6.13,31680.00
POMO aug×8,32.51,40.61,524.80,87.72,72.10,8256.00,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
BQ bs16,23.43,1.34,1664.00,58.27,14.32,384.00,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
SIGD bs16,23.36,1.04,2214.40,55.77,9.42,29280.00,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
"LEHD RRC1,000",23.29,0.74,25344.00,54.43,6.79,8256.00,80.9,12.71,17856.00,OOM,OOM,OOM,OOM,OOM,OOM
"L2C-Insert (I=1,000)",23.230,0.48,2784.0,-,-,-,73.270,2.08,998.4,166.063,3.83,1249.8,237.109,4.92,1564.2
"SIL PRC1,000",23.207,0.38,11520.00,51.67,1.37,9024.00,73.08,1.81,16320.00,163.95,2.51,79488.00,231.52,2.45,149760.00
FACO I=1000,23.3119,0.83,68.5196,52.1199,2.26,24.6297,73.8039,2.82,42.5497,168.1704,5.15,189.7724,241.2578,6.76,400.2991
FACO I=2000,23.2811,0.70,138.4618,51.9777,1.98,49.7893,73.5440,2.46,84.7822,166.2530,3.95,369.1050,237.5256,5.10,761.0385
FACO I=5000,23.2477,0.55,347.9064,51.8752 ,1.78,123.8167,73.3257,2.15,214.6173,164.9024,3.11,902.8434,234.3327,3.69,1811.1846
FACO I=10000,23.2301,0.48,696.5062,51.8102,1.65,249.5132,73.2296,2.02,428.9796,164.3760,2.78,1791.8187,233.0392,3.12,3573.0792
DyNACO I=1000,23.2391,0.52,45.03+2.10,51.6305,1.30,17.98+1.12,72.9228,1.59,29.06+1.88,167.3554,4.64,142.38+9.65,241.2022,6.73,325.34+19.05
DyNACO I=2000,23.2108,0.39,89.97+4.07,51.5222,1.08,33.59+2.09,72.6697,1.24,55.85+3.63,164.5794,2.91,257.81+19.19,236.6790,4.73,577.29+37.99
DyNACO I=5000,23.1819,0.27,226.26+9.96,51.4062,0.86,79.85+5.03 ,72.4758,0.97,136.02+8.89,162.6645,1.71,602.48+47.81,232.0750,2.69,1326.38+94.82
DyNACO I=10000,23.1652,0.20,450.52+19.98,51.3500,0.75,156.77+9.93,72.3679,0.82,268.62+17.65,161.9339,1.25,1181.90+95.50,230.2771,1.90,2557.55+189.48
