idx,name,size,size_group,opt,baseline,base,model_anneal,model_no_anneal,mix_anneal,mix_no_anneal,model_anneal_best_head,model_anneal_best_head_iter,model_anneal_best_head_value,model_anneal_head_distribution,model_anneal_pairwise_jsd_bits,model_anneal_jensen_to_mean_bits,model_no_anneal_best_head,model_no_anneal_best_head_iter,model_no_anneal_best_head_value,model_no_anneal_head_distribution,model_no_anneal_pairwise_jsd_bits,model_no_anneal_jensen_to_mean_bits,mix_anneal_best_head,mix_anneal_best_head_iter,mix_anneal_best_head_value,mix_anneal_head_distribution,mix_anneal_pairwise_jsd_bits,mix_anneal_jensen_to_mean_bits,mix_no_anneal_best_head,mix_no_anneal_best_head_iter,mix_no_anneal_best_head_value,mix_no_anneal_head_distribution,mix_no_anneal_pairwise_jsd_bits,mix_no_anneal_jensen_to_mean_bits,base_I1000,base_time_I1000,model_anneal_I1000,model_anneal_time_I1000,model_no_anneal_I1000,model_no_anneal_time_I1000,mix_anneal_I1000,mix_anneal_time_I1000,mix_no_anneal_I1000,mix_no_anneal_time_I1000,base_I2000,base_time_I2000,model_anneal_I2000,model_anneal_time_I2000,model_no_anneal_I2000,model_no_anneal_time_I2000,mix_anneal_I2000,mix_anneal_time_I2000,mix_no_anneal_I2000,mix_no_anneal_time_I2000,base_I5000,base_time_I5000,model_anneal_I5000,model_anneal_time_I5000,model_no_anneal_I5000,model_no_anneal_time_I5000,mix_anneal_I5000,mix_anneal_time_I5000,mix_no_anneal_I5000,mix_no_anneal_time_I5000,base_I10000,base_time_I10000,model_anneal_I10000,model_anneal_time_I10000,model_no_anneal_I10000,model_no_anneal_time_I10000,mix_anneal_I10000,mix_anneal_time_I10000,mix_no_anneal_I10000,mix_no_anneal_time_I10000
0,dj38,38,<1K,6656.0,6656.0,,6659.4384765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6659.4384765625,0.7786147594451904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lu980,980,<1K,11340.0,11340.0,,11377.8857421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11377.8857421875,1.4865317344665527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,qa194,194,<1K,9352.0,9352.0,,9376.642578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9376.642578125,0.8123300075531006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,uy734,734,<1K,79114.0,79114.0,,79273.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79273.375,1.2785670757293701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,wi29,29,<1K,27603.0,27603.0,,27601.166015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27601.166015625,0.49298882484436035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,zi929,929,<1K,95345.0,95345.0,,95818.578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95818.578125,1.3778204917907715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,a280,280,<1K,2579.0,2579.0,,2587.808349609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587.808349609375,0.860755205154419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,berlin52,52,<1K,7542.0,7542.0,,7544.365234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7544.365234375,0.5666563510894775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bier127,127,<1K,118282.0,118282.0,,118293.4453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118293.4453125,0.7073564529418945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ch130,130,<1K,6110.0,6110.0,,6110.7197265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6110.7197265625,0.673844575881958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ch150,150,<1K,6528.0,6528.0,,6530.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6530.900390625,0.7105858325958252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,d198,198,<1K,15780.0,15780.0,,15811.3447265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15811.3447265625,0.757739782333374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,d493,493,<1K,35002.0,35002.0,,35100.26171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35100.26171875,0.9650437831878662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,d657,657,<1K,48912.0,48912.0,,49136.5703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49136.5703125,1.2564644813537598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,eil101,101,<1K,629.0,629.0,,640.21142578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.21142578125,0.7166359424591064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,eil51,51,<1K,426.0,426.0,,428.8717346191406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.8717346191406,0.629486083984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
