idx,name,opt,baseline,base,model_anneal,model_no_anneal,mix_anneal,mix_no_anneal,base_I1000,base_time_I1000,model_anneal_I1000,model_anneal_time_I1000,model_no_anneal_I1000,model_no_anneal_time_I1000,mix_anneal_I1000,mix_anneal_time_I1000,mix_no_anneal_I1000,mix_no_anneal_time_I1000,base_I2000,base_time_I2000,model_anneal_I2000,model_anneal_time_I2000,model_no_anneal_I2000,model_no_anneal_time_I2000,mix_anneal_I2000,mix_anneal_time_I2000,mix_no_anneal_I2000,mix_no_anneal_time_I2000,base_I5000,base_time_I5000,model_anneal_I5000,model_anneal_time_I5000,model_no_anneal_I5000,model_no_anneal_time_I5000,mix_anneal_I5000,mix_anneal_time_I5000,mix_no_anneal_I5000,mix_no_anneal_time_I5000,base_I10000,base_time_I10000,model_anneal_I10000,model_anneal_time_I10000,model_no_anneal_I10000,model_no_anneal_time_I10000,mix_anneal_I10000,mix_anneal_time_I10000,mix_no_anneal_I10000,mix_no_anneal_time_I10000
0,X-n101-k25,27.982758620689655,,,28.665239334106445,,,,,,28.665239334106445,1.2958719730377197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X-n106-k14,26.362,,,26.7716064453125,,,,,,26.7716064453125,0.79709792137146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,X-n110-k13,14.971,,,15.216873168945312,,,,,,15.216873168945312,0.6661324501037598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,X-n115-k10,12.927991886409737,,,12.963717460632324,,,,,,12.963717460632324,1.1008434295654297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,X-n120-k6,13.439516129032258,,,13.90383529663086,,,,,,13.90383529663086,0.9224507808685303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,X-n125-k30,56.156723963599596,,,58.3983154296875,,,,,,58.3983154296875,0.9947631359100342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,X-n129-k18,28.997995991983966,,,29.621469497680664,,,,,,29.621469497680664,0.873091459274292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,X-n134-k13,12.320541760722348,,,12.412303924560547,,,,,,12.412303924560547,1.0626616477966309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,X-n139-k10,13.699596774193548,,,13.7771577835083,,,,,,13.7771577835083,0.9421591758728027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,X-n143-k7,15.77889447236181,,,15.820793151855469,,,,,,15.820793151855469,1.2210335731506348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,X-n148-k46,43.754279959718026,,,45.502647399902344,,,,,,45.502647399902344,0.9923210144042969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,X-n153-k22,21.565040650406505,,,21.977977752685547,,,,,,21.977977752685547,1.0846376419067383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,X-n157-k13,17.560874089490113,,,17.73164176940918,,,,,,17.73164176940918,1.081740379333496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,X-n162-k11,14.411824668705403,,,14.47120475769043,,,,,,14.47120475769043,1.0800635814666748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,X-n167-k10,20.764646464646464,,,21.2938289642334,,,,,,21.2938289642334,1.2039906978607178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,X-n172-k51,46.96910401647786,,,47.53696823120117,,,,,,47.53696823120117,1.3046817779541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,X-n176-k26,47.812,,,48.83395004272461,,,,,,48.83395004272461,1.1295907497406006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,X-n181-k23,26.80188679245283,,,26.9890079498291,,,,,,26.9890079498291,0.7915401458740234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,X-n186-k15,24.241967871485944,,,24.873703002929688,,,,,,24.873703002929688,1.0811641216278076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,X-n190-k8,17.031093279839517,,,17.298280715942383,,,,,,17.298280715942383,1.5549836158752441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,X-n195-k51,44.269269269269266,,,44.69876480102539,,,,,,44.69876480102539,1.3042521476745605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,X-n200-k36,60.08,,,62.3687629699707,,,,,,62.3687629699707,1.3208816051483154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,X-n204-k19,19.584584584584583,,,19.94137954711914,,,,,,19.94137954711914,1.075200080871582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,X-n209-k16,30.686686686686688,,,31.399518966674805,,,,,,31.399518966674805,1.1682376861572266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,X-n214-k11,15.398581560283688,,,16.021411895751953,,,,,,16.021411895751953,1.730748176574707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,X-n219-k73,117.595,,,117.73532104492188,,,,,,117.73532104492188,0.9820556640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,X-n223-k34,40.47747747747748,,,41.3539924621582,,,,,,41.3539924621582,1.0299513339996338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,X-n228-k23,25.742,,,26.164060592651367,,,,,,26.164060592651367,1.5751495361328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,X-n233-k16,19.287863590772318,,,19.529254913330078,,,,,,19.529254913330078,1.533383846282959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,X-n237-k14,27.06906906906907,,,28.541322708129883,,,,,,28.541322708129883,1.300950527191162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,X-n242-k48,82.751,,,83.43670654296875,,,,,,83.43670654296875,1.0329453945159912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,X-n247-k50,51.91364902506964,,,52.5804443359375,,,,,,52.5804443359375,1.643566370010376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,X-n251-k28,38.878391959798996,,,39.5221061706543,,,,,,39.5221061706543,1.2480754852294922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,X-n256-k16,18.933668341708543,,,19.063779830932617,,,,,,19.063779830932617,1.3902573585510254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,X-n261-k13,26.584584584584583,,,27.651851654052734,,,,,,27.651851654052734,1.9989125728607178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,X-n266-k58,75.70511534603811,,,77.21815490722656,,,,,,77.21815490722656,1.1298727989196777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,X-n270-k35,35.57560483870968,,,36.177955627441406,,,,,,36.177955627441406,1.2771108150482178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,X-n275-k28,24.25228310502283,,,24.78566551208496,,,,,,24.78566551208496,1.4006876945495605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,X-n280-k17,33.503,,,34.498844146728516,,,,,,34.498844146728516,1.9102721214294434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,X-n284-k15,20.7021494370522,,,21.40245246887207,,,,,,21.40245246887207,2.208951711654663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,X-n289-k60,95.34168336673346,,,98.02411651611328,,,,,,98.02411651611328,1.8184120655059814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,X-n294-k50,47.39798994974874,,,48.2517204284668,,,,,,48.2517204284668,1.653623342514038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,X-n298-k31,34.26526526526526,,,35.212284088134766,,,,,,35.212284088134766,1.5946917533874512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,X-n303-k21,22.134419551934826,,,22.663999557495117,,,,,,22.663999557495117,2.040966033935547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,X-n308-k13,25.96285140562249,,,26.51626205444336,,,,,,26.51626205444336,2.3432061672210693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,X-n313-k71,94.4206827309237,,,96.36370086669922,,,,,,96.36370086669922,2.060314893722534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,X-n317-k53,78.43343343343344,,,93.30791473388672,,,,,,93.30791473388672,1.2929155826568604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,X-n322-k28,29.834,,,30.38953399658203,,,,,,30.38953399658203,1.3733620643615723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,X-n327-k20,27.67035175879397,,,28.15213394165039,,,,,,28.15213394165039,1.8811991214752197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,X-n331-k15,31.133133133133132,,,32.41295623779297,,,,,,32.41295623779297,2.2094826698303223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,X-n336-k84,139.25025025025025,,,142.66876220703125,,,,,,142.66876220703125,2.084895133972168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,X-n344-k43,42.1765295887663,,,43.04279708862305,,,,,,43.04279708862305,1.3248100280761719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,X-n351-k40,25.896,,,26.74411964416504,,,,,,26.74411964416504,1.889740228652954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,X-n359-k29,51.505,,,52.90630340576172,,,,,,52.90630340576172,1.7064900398254395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,X-n367-k17,24.82480957562568,,,25.828632354736328,,,,,,25.828632354736328,2.353311777114868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,X-n376-k94,147.86086086086087,,,148.02755737304688,,,,,,148.02755737304688,1.257063865661621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,X-n384-k52,66.07214428857715,,,67.33859252929688,,,,,,67.33859252929688,1.391050100326538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,X-n393-k38,38.52970795568983,,,39.09964370727539,,,,,,39.09964370727539,1.509838342666626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,X-n401-k29,66.154,,,67.154296875,,,,,,67.154296875,2.317304849624634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,X-n411-k19,19.99188640973631,,,20.715309143066406,,,,,,20.715309143066406,2.803884983062744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,X-n420-k130,108.12236710130391,,,111.06358337402344,,,,,,111.06358337402344,1.9853851795196533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,X-n429-k61,65.71184738955823,,,67.29542541503906,,,,,,67.29542541503906,1.3847904205322266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,X-n439-k37,36.500501504513544,,,36.93198013305664,,,,,,36.93198013305664,1.6703095436096191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,X-n449-k29,55.233,,,56.80568313598633,,,,,,56.80568313598633,2.413119077682495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,X-n459-k26,25.25,,,26.01032066345215,,,,,,26.01032066345215,2.3715858459472656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,X-n469-k138,222.2685370741483,,,229.5004425048828,,,,,,229.5004425048828,1.7090058326721191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,X-n480-k70,89.8082329317269,,,92.42717742919922,,,,,,92.42717742919922,1.7631864547729492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,X-n491-k59,66.54954954954955,,,68.15645599365234,,,,,,68.15645599365234,2.1163196563720703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,X-n502-k39,69.226,,,69.60047149658203,,,,,,69.60047149658203,2.3785924911499023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,X-n513-k21,24.249498997995993,,,25.103796005249023,,,,,,25.103796005249023,2.4836299419403076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,X-n524-k153,154.593,,,158.07022094726562,,,,,,158.07022094726562,2.948472261428833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,X-n536-k96,94.846,,,97.20514678955078,,,,,,97.20514678955078,2.1522140502929688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,X-n548-k50,86.7,,,95.13565063476562,,,,,,95.13565063476562,1.6391596794128418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,X-n561-k42,42.75975975975976,,,43.892730712890625,,,,,,43.892730712890625,2.1836793422698975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,X-n573-k30,50.673,,,51.64468002319336,,,,,,51.64468002319336,3.193404197692871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,X-n586-k159,191.46478873239437,,,196.04513549804688,,,,,,196.04513549804688,2.025104284286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,X-n599-k92,108.451,,,110.76872253417969,,,,,,110.76872253417969,1.556056022644043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,X-n613-k62,59.65430861723447,,,61.306602478027344,,,,,,61.306602478027344,2.408125877380371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,X-n627-k43,62.226226226226224,,,64.71826934814453,,,,,,64.71826934814453,2.572887420654297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,X-n641-k35,63.747747747747745,,,65.39461517333984,,,,,,65.39461517333984,2.5743136405944824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,X-n655-k131,110.5383022774327,,,110.95068359375,,,,,,110.95068359375,2.037342071533203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,X-n670-k130,146.47847847847848,,,150.5717315673828,,,,,,150.5717315673828,3.3867530822753906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,X-n685-k75,68.4789156626506,,,70.18946838378906,,,,,,70.18946838378906,2.558361291885376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,X-n701-k44,81.923,,,83.97850799560547,,,,,,83.97850799560547,2.7282204627990723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,X-n716-k35,44.30337078651685,,,45.408226013183594,,,,,,45.408226013183594,2.819575309753418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,X-n733-k159,136.32332332332334,,,138.52716064453125,,,,,,138.52716064453125,2.6045188903808594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,X-n749-k98,77.89213709677419,,,79.61495971679688,,,,,,79.61495971679688,2.6405582427978516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,X-n766-k71,114.417,,,117.73747253417969,,,,,,117.73747253417969,2.8572206497192383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,X-n783-k48,72.53106212424849,,,74.66831970214844,,,,,,74.66831970214844,2.7925524711608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,X-n801-k40,73.311,,,74.60482025146484,,,,,,74.60482025146484,2.8633008003234863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,X-n819-k171,158.121,,,162.54286193847656,,,,,,162.54286193847656,2.4093375205993652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,X-n837-k142,193.93093093093094,,,199.36050415039062,,,,,,199.36050415039062,1.9679112434387207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,X-n856-k95,89.05405405405405,,,90.12802124023438,,,,,,90.12802124023438,2.1890709400177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,X-n876-k59,99.49799599198397,,,101.46395111083984,,,,,,101.46395111083984,3.1273934841156006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,X-n895-k37,53.913913913913916,,,55.76924514770508,,,,,,55.76924514770508,3.4000415802001953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,X-n916-k207,329.179,,,341.8961181640625,,,,,,341.8961181640625,2.4177026748657227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,X-n936-k151,132.9809619238477,,,137.0368194580078,,,,,,137.0368194580078,3.4242982864379883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,X-n957-k87,85.465,,,93.48615264892578,,,,,,93.48615264892578,2.341683864593506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,X-n979-k58,118.976,,,121.62184143066406,,,,,,121.62184143066406,2.9993972778320312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,X-n1001-k43,72.355,,,74.81193542480469,,,,,,74.81193542480469,3.6873984336853027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Leuven1,101.33893851812927,,,103.15499114990234,,,,,,103.15499114990234,5.271971940994263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Leuven2,56.00553041729513,,,60.417152404785156,,,,,,60.417152404785156,7.119752645492554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Antwerp1,238.87737737737737,,,246.42567443847656,,,,,,246.42567443847656,10.065614700317383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Antwerp2,145.7478739369685,,,157.67196655273438,,,,,,157.67196655273438,11.401329517364502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Ghent1,236.18259557344064,,,243.77957153320312,,,,,,243.77957153320312,16.752459049224854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Ghent2,129.13276553106212,,,142.82936096191406,,,,,,142.82936096191406,18.6246395111084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Brussels1,253.1377396569122,,,265.60711669921875,,,,,,265.60711669921875,26.08407425880432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Brussels2,173.25376128385156,,,192.62161254882812,,,,,,192.62161254882812,26.870487213134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Flanders1,271.55194659065336,,,280.61358642578125,,,,,,280.61358642578125,32.898972511291504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Flanders2,162.93755588673622,,,178.9008026123047,,,,,,178.9008026123047,47.02213406562805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
