problem,n_node,ls_type,epoch,avg_cost,best_cost,timestamp
tsp,1000,srr_local,0,23.612,23.2923,2026-04-07T23:49:51.906337
tsp,1000,srr_local,1,23.6151,23.2438,2026-04-07T23:49:51.906413
tsp,1000,srr_local,2,23.4146,23.2116,2026-04-07T23:49:51.906429
tsp,1000,srr_local,3,23.4303,23.1996,2026-04-07T23:49:51.906441
tsp,1000,srr_local,4,23.4692,23.1857,2026-04-07T23:49:51.906452
tsp,1000,srr_local,5,23.4541,23.204,2026-04-07T23:49:51.906463
tsp,1000,srr_local,6,23.4136,23.2024,2026-04-07T23:49:51.906474
tsp,1000,srr_local,7,23.4096,23.199,2026-04-07T23:49:51.906484
tsp,1000,srr_local,8,23.395,23.2034,2026-04-07T23:49:51.906494
tsp,1000,srr_local,9,23.4261,23.2011,2026-04-07T23:49:51.906504
tsp,1000,global_ls,0,23.298,23.1365,2026-04-08T00:30:07.457039
tsp,1000,global_ls,1,23.337,23.1419,2026-04-08T00:30:07.457072
tsp,1000,global_ls,2,23.2938,23.147,2026-04-08T00:30:07.457085
tsp,1000,global_ls,3,23.3335,23.1494,2026-04-08T00:30:07.457097
tsp,1000,global_ls,4,23.3703,23.1475,2026-04-08T00:30:07.457108
tsp,1000,global_ls,5,23.3753,23.1593,2026-04-08T00:30:07.457119
tsp,1000,global_ls,6,23.3201,23.1566,2026-04-08T00:30:07.457129
tsp,1000,global_ls,7,23.3077,23.1524,2026-04-08T00:30:07.457140
tsp,1000,global_ls,8,23.3315,23.1505,2026-04-08T00:30:07.457150
tsp,1000,global_ls,9,23.3372,23.1584,2026-04-08T00:30:07.457161
tsp,1000,truncated_ls,0,23.4796,23.2098,2026-04-08T00:36:26.397362
tsp,1000,truncated_ls,1,23.4765,23.2052,2026-04-08T00:36:26.397411
cvrp,1000,srr_local,0,38.566,35.8474,2026-04-08T12:45:43.726546
cvrp,1000,srr_local,1,37.8882,35.7958,2026-04-08T12:45:43.726588
cvrp,1000,srr_local,2,38.5436,35.7455,2026-04-08T12:45:43.726604
cvrp,1000,srr_local,3,37.7254,35.7437,2026-04-08T12:45:43.726616
cvrp,1000,srr_local,4,37.9149,35.7486,2026-04-08T12:45:43.726627
cvrp,1000,srr_local,5,38.1732,35.7335,2026-04-08T12:45:43.726638
cvrp,1000,srr_local,6,37.3568,35.7545,2026-04-08T12:45:43.726649
cvrp,1000,srr_local,7,37.0722,35.7201,2026-04-08T12:45:43.726660
cvrp,1000,srr_local,8,38.034,35.7356,2026-04-08T12:45:43.726670
cvrp,1000,srr_local,9,37.8588,35.7631,2026-04-08T12:45:43.726681
