problem,n_node,ls_type,time_limit,cost,gap,time,timestamp
tsp,1000,srr_local,10.0,23.2422,0.2267,0.8933,2026-04-08T04:36:13.341620
tsp,1000,srr_local,30.0,23.2461,0.2433,0.8789,2026-04-08T04:36:41.825872
tsp,1000,srr_local,60.0,23.2454,0.2402,0.8137,2026-04-08T04:37:10.031036
tsp,1000,global_ls,10.0,23.1567,-0.142,7.1265,2026-04-08T04:39:20.640726
tsp,1000,global_ls,30.0,23.1567,-0.142,7.0725,2026-04-08T04:41:32.007067
tsp,1000,global_ls,60.0,23.1567,-0.142,7.0376,2026-04-08T04:43:39.228945
tsp,1000,truncated_ls,10.0,23.2199,0.1301,2.6841,2026-04-08T04:44:36.078429
tsp,1000,srr_local,1.0,23.2483,0.2528,0.8561,2026-04-08T04:48:55.979341
tsp,1000,global_ls,1.0,23.2071,0.0754,1.0131,2026-04-08T04:49:26.222763
tsp,1000,truncated_ls,1.0,23.2547,0.2806,1.0106,2026-04-08T04:49:56.226711
tsp,1000,srr_local,0.5,23.2979,0.4664,0.5113,2026-04-08T04:55:05.459520
tsp,1000,global_ls,0.5,23.2793,0.3874,0.513,2026-04-08T04:55:27.158839
tsp,1000,truncated_ls,0.5,23.3226,0.5734,0.5116,2026-04-08T04:55:48.817385
