problem,n_node,ls_type,epoch,avg_cost,best_cost,timestamp
tsp,20,srr_local,0,3.9972,,2026-04-08T05:46:55.515736
tsp,20,srr_local,1,4.1452,,2026-04-08T05:46:55.516080
tsp,20,srr_local,2,4.2317,,2026-04-08T05:46:55.516209
tsp,20,srr_local,3,3.7546,,2026-04-08T05:46:55.516301
tsp,20,srr_local,4,4.4106,,2026-04-08T05:46:55.516386
tsp,20,global_ls,0,3.8636,,2026-04-08T05:47:42.819913
tsp,20,global_ls,1,3.7735,,2026-04-08T05:47:42.820030
tsp,20,global_ls,2,3.9426,,2026-04-08T05:47:42.820083
tsp,20,global_ls,3,4.0828,,2026-04-08T05:47:42.820121
tsp,20,global_ls,4,3.8072,,2026-04-08T05:47:42.820158
tsp,20,truncated_ls,0,4.1398,,2026-04-08T05:48:33.096620
tsp,20,truncated_ls,1,3.9852,,2026-04-08T05:48:33.096791
tsp,20,truncated_ls,2,4.2018,,2026-04-08T05:48:33.096912
tsp,20,truncated_ls,3,4.4119,,2026-04-08T05:48:33.097004
tsp,20,truncated_ls,4,4.0031,,2026-04-08T05:48:33.097083
